d,N,floor,floor_sd
2,50,0.16058793106702096,0.014321825148697013
2,100,0.08925806965308368,0.012600770669793326
2,200,0.04718715913982736,0.005293921536669405
2,400,0.02708385990594432,0.0027245645768103253
2,800,0.015585054802928077,0.0009598669690963297
2,1600,0.008481302171372503,0.0007078287432630099
2,3200,0.004497337642773964,0.00040404786278100933
3,50,0.5206123112838219,0.02215031905520972
3,100,0.3538714822174429,0.018133906597635203
3,200,0.23160111629280586,0.010404129192636417
3,400,0.15046521423863124,0.004401454015897003
3,800,0.09906894504216505,0.0031096805494414946
3,1600,0.06557280406237186,0.0011662285828055432
3,3200,0.0420271100403691,0.0007970890711084971
5,50,1.794548236987751,0.061886468269953386
5,100,1.3615813650975863,0.024130020150024942
5,200,1.050064033240294,0.011292936819868283
5,400,0.8075127618171378,0.00846524338443689
5,800,0.6221712543109065,0.007369854556853741
5,1600,0.477536532270882,0.003588313454708355
5,3200,0.36681708389476725,0.0026982638772757228
8,50,4.515040175729374,0.08409458531426132
8,100,3.7490616546882234,0.04513012479527367
8,200,3.1356673638820833,0.027899433797257782
8,400,2.628204652765818,0.011257585192676747
8,800,2.208436556636011,0.01289751516580577
8,1600,1.8651519609875997,0.00877068691913467
8,3200,1.5686652301666524,0.007066817168109556
