run,h,iter,L_theta,L_star,gap
exp1_cond_seed0,0.0,100,2.50062384765625,6.593668162224731e-10,2.5006238469968833
exp1_cond_seed0,0.0,300,2.0311930859375,1.644555703705919e-10,2.0311930857730442
exp1_cond_seed0,0.0,1000,1.80680689453125,6.104909085991039e-10,1.806806893920759
exp1_cond_seed0,0.0,3000,1.7421745703125,1.040491383008657e-09,1.7421745692720085
exp1_cond_seed0,0.0,10000,1.6795628125,2.857507111997393e-10,1.6795628122142492
exp1_cond_seed0,0.0,30000,1.31077107421875,4.906046293111643e-06,1.3107661681724567
exp1_cond_seed0,0.0,100000,0.7439629638671875,6.473650789473595e-09,0.7439629573935367
exp1_cond_seed0,0.0,200000,0.442328515625,1.3515551174236862e-10,0.4423285154898445
p7y_h0.01_seed0,0.01,100,2.49620880859375,0.52688203125,1.96932677734375
p7y_h0.01_seed0,0.01,300,2.04596017578125,0.529408876953125,1.5165512988281251
p7y_h0.01_seed0,0.01,1000,1.79197671875,0.5267032373046875,1.2652734814453126
p7y_h0.01_seed0,0.01,3000,1.78416677734375,0.527480732421875,1.2566860449218749
p7y_h0.01_seed0,0.01,10000,1.69194884765625,0.5240892626953125,1.1678595849609374
p7y_h0.01_seed0,0.01,30000,1.31722814453125,0.5308726318359375,0.7863555126953125
p7y_h0.01_seed0,0.01,100000,0.91852294921875,0.523419345703125,0.395103603515625
p7y_h0.01_seed0,0.01,200000,0.7778667529296875,0.520674677734375,0.2571920751953125
p7y_h0.05_seed0,0.05,100,2.50165103515625,1.16810189453125,1.3335491406250002
p7y_h0.05_seed0,0.05,300,2.05687767578125,1.1670126953125,0.8898649804687502
p7y_h0.05_seed0,0.05,1000,1.8038690625,1.17249794921875,0.6313711132812501
p7y_h0.05_seed0,0.05,3000,1.796264140625,1.169313251953125,0.6269508886718749
p7y_h0.05_seed0,0.05,10000,1.70773875,1.16488744140625,0.5428513085937501
p7y_h0.05_seed0,0.05,30000,1.4526064453125,1.16243166015625,0.29017478515624995
p7y_h0.05_seed0,0.05,100000,1.31904470703125,1.16835857421875,0.1506861328125002
p7y_h0.05_seed0,0.05,200000,1.288655712890625,1.16239787109375,0.12625784179687516
p7y_h0.1_seed0,0.1,100,2.514825078125,1.3702341796875,1.1445908984375
p7y_h0.1_seed0,0.1,300,2.1044554296875,1.366180078125,0.7382753515625
p7y_h0.1_seed0,0.1,1000,1.837442734375,1.3757760546875,0.46166667968749997
p7y_h0.1_seed0,0.1,3000,1.82228830078125,1.372403525390625,0.449884775390625
p7y_h0.1_seed0,0.1,10000,1.7471810546875,1.36865796875,0.37852308593749995
p7y_h0.1_seed0,0.1,30000,1.5810612109375,1.364750732421875,0.2163104785156249
p7y_h0.1_seed0,0.1,100000,1.497324033203125,1.366863828125,0.13046020507812495
p7y_h0.1_seed0,0.1,200000,1.46488078125,1.362724453125,0.10215632812499997
p7y_h0.5_seed0,0.5,100,2.7469322265625,1.88394203125,0.8629901953125001
p7y_h0.5_seed0,0.5,300,2.62354189453125,1.87909404296875,0.7444478515624999
p7y_h0.5_seed0,0.5,1000,2.21043470703125,1.89111521484375,0.3193194921874998
p7y_h0.5_seed0,0.5,3000,2.16078830078125,1.8891869921875,0.27160130859374987
p7y_h0.5_seed0,0.5,10000,2.1409396875,1.8830536328125,0.2578860546874999
p7y_h0.5_seed0,0.5,30000,2.05631404296875,1.87953623046875,0.1767778124999999
p7y_h0.5_seed0,0.5,100000,1.99847744140625,1.88005322265625,0.11842421874999998
p7y_h0.5_seed0,0.5,200000,1.97079072265625,1.87979328125,0.09099744140624999
