group,n_eval,trace_cov_mean,trace_cov_std,mean_err_post_mean,mean_err_post_std,mean_err_train_point_mean,mean_err_train_point_std,dist_to_nearest_other_mean,dist_to_nearest_other_std,ratio_own_vs_other_mean,ratio_own_vs_other_std,vel_rel_err_mean_mean,vel_rel_err_mean_std,vel_rel_err_median_mean,vel_rel_err_median_std,vel_abs_err_mean_mean,vel_abs_err_mean_std,trace_cov_kernel_mean,trace_cov_kernel_std,n_eff_mean,n_eff_std,ratio_to_kernel_mean,ratio_to_kernel_std,mean_err_kernel_mean,mean_err_kernel_std,memorization_ratio_mean,memorization_ratio_std,trace_post,iter,train_loss,elapsed_s,dist_to_nearest_train_mean,dist_to_nearest_train_std
train,20,0.8054832832145837,0.032352961833649246,0.21041224682599421,0.06557038677308123,0.8912546631726134,0.703841022551391,0.1205938165975701,0.096933795138558,13.6309559365045,15.281556346051733,0.7928204402327538,0.19661956166296204,0.7670944228768348,0.1917971560397754,1.3947703659534454,0.542731364125687,0.0,0.0,1.0,0.0,,,0.8912546631726134,0.703841022551391,0.1125,0.01877098825315279,1.019281376574483,100,2.8673373040228856,169.32994103431702,,
heldout,8,0.8006721481802132,0.04063686122887064,0.14013096690347374,0.07090540734443831,,,,,,,,,,,,,,,,,,,,,0.0975,0.02102379604162864,1.019281376574483,100,2.8673373040228856,169.32994103431702,0.14202085125995084,0.12978298871367133
train,20,0.9087084602098786,0.19743371298147944,0.32799512461391206,0.10697334891488629,0.8960537640602155,0.6744068314639382,0.1568916668073494,0.1412286104100106,14.885281879087279,20.50478530628514,0.7631311431527138,0.24184254151129075,0.6275696337223053,0.21537449926636507,1.1969934791326522,0.4798205668472095,0.0,0.0,1.0,0.0,,,0.8960537640602155,0.6744068314639382,0.11255,0.024050935532739674,1.019281376574483,300,1.9911873847263521,349.61233401298523,,
heldout,8,0.753901048174639,0.207232716493126,0.2568472374208004,0.11982671029962451,,,,,,,,,,,,,,,,,,,,,0.093875,0.036706394197741625,1.019281376574483,300,1.9911873847263521,349.61233401298523,0.19191910112171529,0.18993265161142134
train,20,0.9423353247556051,0.21230841941065323,0.14338223251640267,0.06307736922836726,0.8978609377161841,0.7159415327470716,0.1310596917951675,0.12196500593585358,14.233303843464174,17.83597705016184,0.7560014948248863,0.2222759458107579,0.6375506795942784,0.19822330357600135,1.2046083748340606,0.4860229474600775,0.0,0.0,1.0,0.0,,,0.8978609377161841,0.7159415327470716,0.1162,0.025419677417308034,1.019281376574483,1000,1.697221951714694,535.7528793811798,,
heldout,8,0.7396578533931876,0.2723526675401305,0.085266793550978,0.055013765260935446,,,,,,,,,,,,,,,,,,,,,0.112375,0.030991682351882734,1.019281376574483,1000,1.697221951714694,535.7528793811798,0.14170649537526064,0.11121771845291269
train,20,0.9364863603133406,0.29044452519070335,0.24343230704880506,0.1340627428331387,0.9037888645575766,0.6744931823886101,0.1399281064915967,0.08233408520447504,12.642001439412601,16.160623008389198,0.7413561701774597,0.22231375922383192,0.6212075874209404,0.18982538686555595,1.1686282098293304,0.4316726870411731,0.0,0.0,1.0,0.0,,,0.9037888645575766,0.6744931823886101,0.12125,0.028275209990378497,1.019281376574483,3000,1.6589482487890537,743.1616435050964,,
heldout,8,0.7425866977356146,0.37284047724748454,0.2520242857064308,0.30200001177138275,,,,,,,,,,,,,,,,,,,,,0.095125,0.03929197596202054,1.019281376574483,3000,1.6589482487890537,743.1616435050964,0.20467448142719144,0.26064830216473384
train,20,0.8838833492277829,0.35994089622616027,0.2878081641427842,0.08772439986932322,0.8655112709418791,0.6718583962708617,0.14417517897660492,0.11620513907316354,12.50632293358277,15.12800562465949,0.7061193600296974,0.21703275125655763,0.5866720274090766,0.20902369050105726,1.0958003550767899,0.4265858163224841,0.0,0.0,1.0,0.0,,,0.8655112709418791,0.6718583962708617,0.15839999999999999,0.0654243074094025,1.019281376574483,10000,1.5430507294721014,1043.2739980220795,,
heldout,8,0.6062743648802336,0.437724585705143,0.38474202747047015,0.2543420973097929,,,,,,,,,,,,,,,,,,,,,0.110375,0.0531388217313858,1.019281376574483,10000,1.5430507294721014,1043.2739980220795,0.2539604690983824,0.32255803889789697
train,20,0.6934403569464147,0.4380878728329237,0.33585840514989657,0.244287268663657,0.739838699988113,0.5360067512188491,0.12401498987817702,0.1129031726913118,13.864206153151622,15.456761618382929,0.5933792255818844,0.2768180262759542,0.4788074426352978,0.21896069846476138,0.8813218295574188,0.34180712224567605,0.0,0.0,1.0,0.0,,,0.739838699988113,0.5360067512188491,0.3313499999999999,0.18884842466909804,1.019281376574483,30000,1.1615571659405162,1601.6336472034454,,
heldout,8,0.3634439438811876,0.3244227152951328,0.5995272744469999,0.6813577467944624,,,,,,,,,,,,,,,,,,,,,0.27312499999999995,0.1969095207830236,1.019281376574483,30000,1.1615571659405162,1601.6336472034454,0.3443006053198798,0.7381192669669989
train,20,0.509644830287232,0.6459259972261305,0.4080653241538573,0.3766720899364157,0.5649658774060301,0.5907764988618238,0.13685083175596996,0.1526997910352053,9.0335925338124,10.468882640738874,0.4241349633783102,0.19415558659989648,0.3349547002464533,0.18504174677814103,0.649990901350975,0.33456751550976865,0.0,0.0,1.0,0.0,,,0.5649658774060301,0.5907764988618238,0.5966499999999999,0.1777085465024122,1.019281376574483,100000,0.7285344378300093,2512.0741019248962,,
heldout,8,0.2711790346851983,0.3118932651174498,0.8708972384068869,1.0467456970732139,,,,,,,,,,,,,,,,,,,,,0.39749999999999996,0.2713342035203081,1.019281376574483,100000,0.7285344378300093,2512.0741019248962,0.5335059638538405,1.2610746457750057
train,20,0.459201769541625,0.7311902812324204,0.6196551118169856,0.49330808646655344,0.35848055352893193,0.3798505524492672,0.1588592553280394,0.147397738338984,7.273652625117331,13.418626525163058,0.3001764427870512,0.17501656980996355,0.23296068236231804,0.16892576986055474,0.4587953854352236,0.27498890579116214,0.0,0.0,1.0,0.0,,,0.35848055352893193,0.3798505524492672,0.7375999999999998,0.1735097691774155,1.019281376574483,200000,0.5204548894962323,3433.2235128879547,,
heldout,8,0.637676080780914,1.0252275039308032,3.972896213059918,9.02540515938723,,,,,,,,,,,,,,,,,,,,,0.295375,0.27574849840932947,1.019281376574483,200000,0.5204548894962323,3433.2235128879547,3.5949480029258765,9.270350971199946
