group,n_eval,trace_cov_mean,trace_cov_std,mean_err_post_mean,mean_err_post_std,mean_err_train_point_mean,mean_err_train_point_std,dist_to_nearest_other_mean,dist_to_nearest_other_std,ratio_own_vs_other_mean,ratio_own_vs_other_std,vel_rel_err_mean_mean,vel_rel_err_mean_std,vel_rel_err_median_mean,vel_rel_err_median_std,vel_abs_err_mean_mean,vel_abs_err_mean_std,trace_cov_kernel_mean,trace_cov_kernel_std,n_eff_mean,n_eff_std,ratio_to_kernel_mean,ratio_to_kernel_std,mean_err_kernel_mean,mean_err_kernel_std,memorization_ratio_mean,memorization_ratio_std,trace_post,iter,train_loss,lr,elapsed_s,dist_to_nearest_train_mean,dist_to_nearest_train_std
train,20,1.1747397663304162,0.05186904609231587,0.17706006933128354,0.08725520418131012,0.8522300032587294,0.7896928415114028,0.2303789497482554,0.20354764455807875,6.850578601837408,7.33648162649254,0.771289274096489,0.12242697851597185,0.7430848717689514,0.1457375146334027,1.3636173009872437,0.5928845996924961,0.34928157840127705,0.39847934995282297,3.8980768393984975,1.6919123760056187,10115827882.846745,44085832777.49306,0.6381535428068309,0.741483794962356,0.11860000000000001,0.020802403707264217,1.0040473220529973,100,3.559255718965857,0.001,253.5739986896515,,
heldout,8,1.1867798645479748,0.04433574658384525,0.16194276009226277,0.08725296558060407,,,,,,,,,,,,,,,,,,,,,0.13337500000000002,0.017663079431401534,1.0040473220529973,100,3.559255718965857,0.001,253.5739986896515,0.23531278577446735,0.13966777091637875
train,20,1.4168009598976854,0.4157744851898557,0.3089689971455101,0.1662211988940498,0.8256594685117546,0.8344927149338591,0.22469554971294325,0.18442726501043158,6.523953129776215,7.918793302210869,0.7193871587514877,0.14709916828712727,0.6037452414631843,0.14041875967057457,1.1904025614261626,0.4864563404961454,0.34928157840127705,0.39847934995282297,3.8980768393984975,1.6919123760056187,9638179917.651394,41998035185.801735,0.5698707512494484,0.8231131061689922,0.11395,0.014513700424082067,1.0040473220529973,300,2.6579076597853866,0.001,466.4339532852173,,
heldout,8,1.1312398084475412,0.11165671313095558,0.28331540028800134,0.18671737737828184,,,,,,,,,,,,,,,,,,,,,0.128125,0.026862787923073065,1.0040473220529973,300,2.6579076597853866,0.001,466.4339532852173,0.17827716194992846,0.178410496692146
train,20,1.1937443193022896,0.3707147198073414,0.41069710692941114,0.32572581107128556,0.7641080706170189,0.666963631738523,0.20816846644490358,0.19723554256692574,11.7457384107033,22.323391875075156,0.6997168257832527,0.16212739064949203,0.5630811899900436,0.15507517324747072,1.0895723015069962,0.36981787886131345,0.34928157840127705,0.39847934995282297,3.8980768393984975,1.6919123760056187,10961492157.767704,47765391616.24967,0.4543549234111022,0.6791734725409478,0.1255,0.01646663292844047,1.0040473220529973,1000,2.0770976005624098,0.001,711.4881317615509,,
heldout,8,1.084460093337663,0.1659247150921565,0.21274462712773334,0.1792296292127496,,,,,,,,,,,,,,,,,,,,,0.13974999999999999,0.031991209730174316,1.0040473220529973,1000,2.0770976005624098,0.001,711.4881317615509,0.20568815674656638,0.17558906945015007
train,20,0.6998442344570754,0.25254617229386567,0.5482496796738946,0.7576458012636786,0.5339072744806915,0.41808675179591714,0.32505397188897917,0.5598201746444538,9.373575971873153,19.402846782558523,0.6334384769201279,0.22972030350034295,0.48790057487785815,0.2132718814213914,0.9129079401493072,0.29171594700793807,0.34928157840127705,0.39847934995282297,3.8980768393984975,1.6919123760056187,12188284705.530632,53124947747.01858,0.24350483091279665,0.18218521666873114,0.17359999999999998,0.17384257246140833,1.0040473220529973,3000,1.8147458810062176,0.001,1019.3622312545776,,
heldout,8,0.9990168195221397,0.2550991613536013,0.2137374043806291,0.2175164641063553,,,,,,,,,,,,,,,,,,,,,0.148375,0.04347395053362416,1.0040473220529973,3000,1.8147458810062176,0.001,1019.3622312545776,0.23060566881018768,0.16130877054697385
train,20,0.5455986729465387,0.2237921657972196,0.6561983542816042,0.7063075405840619,0.4643198566158332,0.3905764037928423,0.3332817600719782,0.5753130148637079,16.66310032605241,43.037685606260766,0.5991128504276275,0.2691633831088366,0.4348428755998611,0.22329368197806376,0.8176459491252899,0.2653352694972457,0.34928157840127705,0.39847934995282297,3.8980768393984975,1.6919123760056187,3436138598.8874598,14976440476.299126,0.12612034522734522,0.07563139184609109,0.19335,0.18711928681993203,1.0040473220529973,10000,1.6703531120196062,0.001,1422.4927206039429,,
heldout,8,0.898146400075031,0.4714560923054054,0.5029685328024993,0.4113696545989859,,,,,,,,,,,,,,,,,,,,,0.21075,0.12482162272619275,1.0040473220529973,10000,1.6703531120196062,0.001,1422.4927206039429,0.20067847214225584,0.10660998554462467
