group,n_eval,trace_cov_mean,trace_cov_std,mean_err_post_mean,mean_err_post_std,mean_err_train_point_mean,mean_err_train_point_std,dist_to_nearest_other_mean,dist_to_nearest_other_std,ratio_own_vs_other_mean,ratio_own_vs_other_std,vel_rel_err_mean_mean,vel_rel_err_mean_std,vel_rel_err_median_mean,vel_rel_err_median_std,vel_abs_err_mean_mean,vel_abs_err_mean_std,trace_post,iter,train_loss,elapsed_s,dist_to_nearest_train_mean,dist_to_nearest_train_std
train,20,1.4389582380909012,0.0785009451393768,0.20575103679171952,0.10927939382170498,0.7567491711343352,0.5339832036561072,0.2501158771712749,0.10144059830530396,4.1715307413978975,4.646343457142451,0.8673810601234436,0.13025564095233322,0.8520726144313813,0.12281573608985982,1.3191508114337922,0.3194998115174812,1.0467556993875196,100,3.350933748720936,40.69138240814209,,
heldout,8,1.4954331500964386,0.05614149669994726,0.18846195877637795,0.09187510188685065,,,,,,,,,,,,,1.0467556993875196,100,3.350933748720936,40.69138240814209,0.21273248254962623,0.08547473593981982
train,20,1.4644015061239117,0.19826462408584664,0.1814384887023867,0.10272909487485174,0.7141903027408908,0.6309937542399817,0.2215441087981786,0.18298007386158985,6.848206446838238,8.344059708810104,0.7707722842693329,0.09959475561612494,0.6893229529261589,0.1150747602529568,1.1431199193000794,0.32318701610858797,1.0467556993875196,300,2.540265853387693,85.83280277252197,,
heldout,8,1.392444067075556,0.19340255689701863,0.20619112497434877,0.11447708667593377,,,,,,,,,,,,,1.0467556993875196,300,2.540265853387693,85.83280277252197,0.20190176607081212,0.0544650141117425
train,20,1.1136472605456358,0.42917308629150186,0.11617347738701678,0.05099551849116063,0.7493649792998169,0.5514640964912407,0.2458659490286363,0.12569743362561528,3.5740299546262477,2.762403436626464,0.7558798134326935,0.15083281288534806,0.6483376353979111,0.1322928578427007,1.0621159970760345,0.32415214482545746,1.0467556993875196,1000,1.9886444735519087,130.45494318008423,,
heldout,8,1.0396329500543378,0.38849257416373556,0.08687143398866615,0.04165380446714461,,,,,,,,,,,,,1.0467556993875196,1000,1.9886444735519087,130.45494318008423,0.20179937173840512,0.06042981547520691
train,20,1.2081658201159173,0.47531391551696395,0.22537954662843118,0.1293736165470199,0.7280777317027567,0.5265745469198181,0.24350512671826693,0.1349440299814997,4.177660315391077,3.9462176578621166,0.7351008415222168,0.15265920365738647,0.6131508901715279,0.13639968708882452,1.0190170347690581,0.28371279081263906,1.0467556993875196,3000,1.9295858733673124,198.08595514297485,,
heldout,8,1.0483492449951797,0.5026789750907771,0.17604036343090923,0.10297473634734444,,,,,,,,,,,,,1.0467556993875196,3000,1.9295858733673124,198.08595514297485,0.2288337958059407,0.06314152406035815
train,20,0.8849625054603457,0.9714247317964398,0.269829194098761,0.19485327016787754,0.6306464450013387,0.6338443187859494,0.23078321032118465,0.19096164461200624,3.969064966299052,4.173358998252261,0.5620463609695434,0.2411128123450427,0.42421696670353415,0.1985309255210235,0.7399487353861331,0.3303262554800752,1.0467556993875196,10000,1.3030119985857656,293.8648886680603,,
heldout,8,0.8468257778878918,0.95403509407544,0.28562526196620064,0.21141553606791055,,,,,,,,,,,,,1.0467556993875196,10000,1.3030119985857656,293.8648886680603,0.18514957488632589,0.10129329920797177
train,20,0.1384190138518751,0.16212669675794628,0.6292387595252484,0.5558222907004894,0.1739549032675008,0.2095683553946843,0.2500990895114126,0.18572758657333915,1.9579205585409696,3.3594008257601855,0.25020838156342506,0.1697165514236155,0.18429235871881247,0.13958137609539914,0.3060415230691433,0.2025253001171153,1.0467556993875196,30000,0.3901765567025959,445.62201142311096,,
heldout,8,0.24880380937216523,0.3588054797781344,0.6636508859984105,0.28507551127085606,,,,,,,,,,,,,1.0467556993875196,30000,0.3901765567025959,445.62201142311096,0.18296994001345165,0.10912545115986941
train,20,0.07084586106422439,0.13072454761272423,0.6810692593671971,0.5645647695029938,0.12627083159077715,0.19647142148748792,0.2639795728485561,0.18660138520876873,1.0871343211275748,1.8675505980786808,0.2035969492048025,0.17196575084745322,0.15238325372338296,0.14014402838862533,0.24762649908661843,0.221855907990786,1.0467556993875196,100000,0.24312756320125076,834.3203179836273,,
heldout,8,0.03687375591684013,0.05225108539025206,0.8394938452946576,0.4922016885096693,,,,,,,,,,,,,1.0467556993875196,100000,0.24312756320125076,834.3203179836273,0.08715481829255607,0.057556217569231335
train,20,0.09323329351187833,0.2273995922683645,0.6925328903470452,0.5569281882830854,0.09538931834749846,0.12364119642724394,0.27438632178241534,0.185784531498454,0.7480231899115105,1.2977027054740826,0.2059482868760824,0.11932715235331647,0.14691863525658846,0.0910580630535501,0.2500055879354477,0.12854345941384088,1.0467556993875196,200000,0.27326202520344933,1438.6662151813507,,
heldout,8,0.03117310842561449,0.0399409220066109,0.8385878833791724,0.5179666005409512,,,,,,,,,,,,,1.0467556993875196,200000,0.27326202520344933,1438.6662151813507,0.1010315302011056,0.08850096068849318
