group,n_eval,trace_cov_mean,trace_cov_std,mean_err_post_mean,mean_err_post_std,mean_err_train_point_mean,mean_err_train_point_std,dist_to_nearest_other_mean,dist_to_nearest_other_std,ratio_own_vs_other_mean,ratio_own_vs_other_std,vel_rel_err_mean_mean,vel_rel_err_mean_std,vel_rel_err_median_mean,vel_rel_err_median_std,vel_abs_err_mean_mean,vel_abs_err_mean_std,trace_cov_kernel_mean,trace_cov_kernel_std,n_eff_mean,n_eff_std,ratio_to_kernel_mean,ratio_to_kernel_std,mean_err_kernel_mean,mean_err_kernel_std,memorization_ratio_mean,memorization_ratio_std,trace_post,iter,train_loss,lr,elapsed_s,dist_to_nearest_train_mean,dist_to_nearest_train_std
train,20,1.0808814490667404,0.03495729453998256,0.09969944191418838,0.0818462753143036,0.5975057098908967,0.3554063807629572,0.1122935451726218,0.07688078340745623,9.109775345905984,12.859956153172124,0.7332266256213188,0.09621723157739168,0.7422630012035369,0.12741695665915642,1.1546955555677414,0.15361550959614242,0.0,0.0,1.0,0.0,,,0.5975057098908967,0.3554063807629572,0.10955000000000001,0.011213719275958359,1.003786499603634,100,2.8902921795872274,0.001,4.403206825256348,,
heldout,8,1.0655975492509866,0.04190113613016539,0.08754206080306232,0.08090971646046137,,,,,,,,,,,,,,,,,,,,,0.103625,0.022604963503620176,1.003786499603634,100,2.8902921795872274,0.001,4.403209209442139,0.15501128698844707,0.15000620793063943
train,20,1.7154700679559145,0.10859577344007,0.13683204215272246,0.0822216800327474,0.5963338333888619,0.33720221485249513,0.11761635369910543,0.12015344418853209,13.101811014320564,26.017214896363193,0.7108237117528915,0.14163199450917185,0.6473489373922348,0.13145216932161832,1.0388660162687302,0.11686451746656244,0.0,0.0,1.0,0.0,,,0.5963338333888619,0.33720221485249513,0.11510000000000001,0.0189971050426111,1.003786499603634,300,2.2216536594287377,0.001,8.940339088439941,,
heldout,8,1.7000851298676207,0.0509501951500667,0.16646320412723506,0.1273922519490281,,,,,,,,,,,,,,,,,,,,,0.0995,0.041403502267320334,1.003786499603634,300,2.2216536594287377,0.001,8.940340995788574,0.16309870440397786,0.20386537480388459
train,20,1.0094416560705406,0.1209250260887141,0.14778646256249148,0.10537778975171457,0.5871940257913703,0.33442965328781027,0.11627259710589759,0.11292219216707766,9.584356082401655,10.360688343040167,0.661130228638649,0.1800522234951953,0.5393778964877128,0.15560134780485924,0.9140388906002045,0.18229780964964312,0.0,0.0,1.0,0.0,,,0.5871940257913703,0.33442965328781027,0.12184999999999999,0.019152741318150777,1.003786499603634,1000,1.673549983246938,0.001,15.613743543624878,,
heldout,8,0.9425730979633535,0.1682808881876746,0.1535284425531547,0.17309042487064474,,,,,,,,,,,,,,,,,,,,,0.09575,0.03828103316265119,1.003786499603634,1000,1.673549983246938,0.001,15.61374568939209,0.14420122205508684,0.23021165236928454
train,20,1.006523467751341,0.2579648921301361,0.10122566964801587,0.14013566316597995,0.5731229325761448,0.3561315354977463,0.13499529569969632,0.1315948708513649,7.865826005891376,7.591196495940243,0.6345159918069839,0.16795351983487253,0.5341224819421768,0.15333861141243665,0.8901061028242111,0.1884347051991087,0.0,0.0,1.0,0.0,,,0.5731229325761448,0.3561315354977463,0.1319,0.042581568782749185,1.003786499603634,3000,1.6523820849936073,0.001,28.467556476593018,,
heldout,8,1.0170831086636651,0.30945686395203775,0.12781810653339246,0.14804003844257438,,,,,,,,,,,,,,,,,,,,,0.09812499999999999,0.03976945278728386,1.003786499603634,3000,1.6523820849936073,0.001,28.46755838394165,0.1664994225774144,0.29199771878944986
train,20,0.9076886083019609,0.3503742740867109,0.3115591860867376,0.24442766050881817,0.46883836401704093,0.3474364892063079,0.13895964664440502,0.13433931423742185,7.059902988411798,7.882954362784365,0.623153068125248,0.21426313991583262,0.5002914879471063,0.1980410622371252,0.8465101465582847,0.2096967520462094,0.0,0.0,1.0,0.0,,,0.46883836401704093,0.3474364892063079,0.12405,0.05500952190303057,1.003786499603634,10000,1.5681038387121564,0.001,64.08934020996094,,
heldout,8,0.9307678958437196,0.2972974499329531,0.3351403610894099,0.28326932934510146,,,,,,,,,,,,,,,,,,,,,0.09737499999999999,0.03803924782379378,1.003786499603634,10000,1.5681038387121564,0.001,64.08934187889099,0.22138149825999287,0.33531664470118405
train,20,0.7854394341049241,0.49923352114779257,0.31313024731592126,0.24099426650986686,0.5507293554523693,0.38526810449823945,0.12781864964050157,0.1394577835297002,6.376739788983666,4.124124372152199,0.6406769089400768,0.2359571670877965,0.49917315095663073,0.205732260462822,0.828239594399929,0.2486921884262203,0.0,0.0,1.0,0.0,,,0.5507293554523693,0.38526810449823945,0.27444999999999997,0.21357913638742898,1.003786499603634,30000,1.2870423985794974,0.001,159.4507772922516,,
heldout,8,0.812452327946358,0.5403689178046226,0.5265754236720452,0.5795809051499798,,,,,,,,,,,,,,,,,,,,,0.213625,0.1803731808640076,1.003786499603634,30000,1.2870423985794974,0.001,159.45077919960022,0.18586980328424194,0.20710072478094832
train,20,0.5432813925346508,0.398105070383985,0.33168313670207683,0.31000743934516906,0.48786337957929166,0.3768660784570731,0.1341185741542353,0.11667620574431377,5.912221345785931,6.1064616756220405,0.5604731820523738,0.25510373084941634,0.44664004519581796,0.22645022769024073,0.7233363673090935,0.273450523576536,0.0,0.0,1.0,0.0,,,0.48786337957929166,0.3768660784570731,0.2591,0.15496318917730106,1.003786499603634,40000,1.1456185712939477,0.001,208.64775609970093,,
heldout,8,0.7316457086984496,0.6972066595276153,0.5995068781038563,0.6338683988515307,,,,,,,,,,,,,,,,,,,,,0.162125,0.085651090915411,1.003786499603634,40000,1.1456185712939477,0.001,208.64775800704956,0.20836925844884682,0.3046965537403037
