group,n_eval,trace_cov_mean,trace_cov_std,mean_err_post_mean,mean_err_post_std,mean_err_train_point_mean,mean_err_train_point_std,dist_to_nearest_other_mean,dist_to_nearest_other_std,ratio_own_vs_other_mean,ratio_own_vs_other_std,vel_rel_err_mean_mean,vel_rel_err_mean_std,vel_rel_err_median_mean,vel_rel_err_median_std,vel_abs_err_mean_mean,vel_abs_err_mean_std,trace_post,iter,train_loss,elapsed_s,dist_to_nearest_train_mean,dist_to_nearest_train_std
train,20,1.084815611027952,0.047001416062476604,0.1306108817104642,0.05916816421352983,1.0455667266689024,0.8379696885599851,0.14381519848795402,0.09637716453778343,12.276416713497253,14.82890263422927,0.7840578049421311,0.09077717442275686,0.8203723281621933,0.11003232491755259,1.468789142370224,0.615871303053225,1.0040473220529973,100,3.2078837382063967,32.844085693359375,,
heldout,8,1.0968743405677328,0.0439434869054849,0.08945916080327465,0.05395869918279823,,,,,,,,,,,,,1.0040473220529973,100,3.2078837382063967,32.844085693359375,0.17428631381024184,0.17028354891703748
train,20,1.8087800520692117,0.12101175909540285,0.11341835178735674,0.048950754877058814,1.0558751188343638,0.8262105727096749,0.16989606215729122,0.0975992312705124,8.364011635466962,8.286661151707518,0.7165145069360733,0.09796951494545471,0.7073510363698006,0.10804185187302841,1.2786538362503053,0.43720435635052807,1.0040473220529973,300,2.3844408611416554,73.6950626373291,,
heldout,8,1.6824042159004766,0.07965626268548572,0.09022620769393704,0.024021474923711844,,,,,,,,,,,,,1.0040473220529973,300,2.3844408611416554,73.6950626373291,0.1763992097154643,0.21009025084087446
train,20,1.2388711064178923,0.15620777268047958,0.05789701904707763,0.02225488653761498,1.0492756228829325,0.8378489045713992,0.17122082386012644,0.1133403682293186,9.600289077144916,10.474881585273872,0.728865347802639,0.13597198092058327,0.6314147710800171,0.12709012300309944,1.2105803936719894,0.5019559398789873,1.0040473220529973,1000,1.8265214719710718,121.65866112709045,,
heldout,8,1.1963709403356504,0.11727174469824495,0.051368568880071214,0.03378886157063041,,,,,,,,,,,,,1.0040473220529973,1000,1.8265214719710718,121.65866112709045,0.17068465144532924,0.22271517593889573
train,20,1.1016183083105744,0.31676642395021254,0.09977185254072654,0.04189710304384175,1.0055425427869151,0.8568991687411468,0.1480124238581008,0.10569625134308364,10.500104304017057,11.272701109775308,0.7141002580523491,0.17639306388702256,0.6120401650667191,0.15332005561921402,1.1895277440547942,0.5165443923463227,1.0040473220529973,3000,1.7979433279045018,174.98036003112793,,
heldout,8,1.1988295911545679,0.3737124408918001,0.15359247991532626,0.04550807072892158,,,,,,,,,,,,,1.0040473220529973,3000,1.7979433279045018,174.98036003112793,0.17041838910475338,0.165006778495769
train,20,1.0297343660462466,0.3859294310036313,0.2730320537113803,0.3329839346345202,0.9865758491226012,0.7659900090511916,0.12722294430827183,0.09482948436651754,12.886727368572156,13.969210839334297,0.703733605146408,0.16554614648572868,0.5871451035141945,0.15316844073321725,1.1361373364925385,0.42199733307429077,1.0040473220529973,10000,1.6828607504587454,257.6968505382538,,
heldout,8,1.0014319190369352,0.19561843689324274,0.2538844926336513,0.21242620556690842,,,,,,,,,,,,,1.0040473220529973,10000,1.6828607504587454,257.6968505382538,0.16414971342178364,0.11500317213099978
train,20,0.9431196656409968,0.6029671744719881,0.40689509877375085,0.5518643674019141,0.7295927537360914,0.5801983633882174,0.14000590471177576,0.12969083461816763,13.529251163430473,17.980668990485253,0.5918449178338051,0.24851552763944276,0.47650738060474396,0.21542632878754003,0.8726732365787029,0.3349305119043225,1.0040473220529973,30000,1.3479071521687813,401.2102646827698,,
heldout,8,0.7140804729970761,0.5100279860605977,0.9001184600376111,1.2605468311127803,,,,,,,,,,,,,1.0040473220529973,30000,1.3479071521687813,401.2102646827698,0.27676134859732954,0.5831103038435599
train,20,0.5484629556907092,0.4375285751809529,0.7122240276894514,0.8553833383565965,0.476786043681101,0.45445845138610214,0.14522616252064974,0.16458664770867218,8.8951585181514,11.519972125711334,0.45169103648513553,0.29650101055656164,0.3596660329028964,0.2544523233745368,0.602545915544033,0.3485978582432142,1.0040473220529973,100000,0.7365826608963695,807.8267269134521,,
heldout,8,0.5452031574833989,0.5365367075861279,0.9670314539270402,0.921826442180014,,,,,,,,,,,,,1.0040473220529973,100000,0.7365826608963695,807.8267269134521,0.28158148062306454,0.3205812434060922
train,20,0.23205839917479903,0.28139282023033607,0.893173945571449,0.821748102908563,0.3259936833075562,0.39670310538136855,0.14915802603997397,0.18612644772208034,7.866680666723157,14.78694436834703,0.385873132199049,0.2668250744491507,0.2795106353238225,0.19829640335557314,0.4843289330601692,0.2943674245483639,1.0040473220529973,200000,0.5116839430221352,1395.0394613742828,,
heldout,8,12274.286383361174,32473.69852338301,167.8268768104107,442.1975733539815,,,,,,,,,,,,,1.0040473220529973,200000,0.5116839430221352,1395.0394613742828,166.67574753927087,440.6280789246158
