group,n_eval,trace_cov_mean,trace_cov_std,mean_err_post_mean,mean_err_post_std,mean_err_train_point_mean,mean_err_train_point_std,dist_to_nearest_other_mean,dist_to_nearest_other_std,ratio_own_vs_other_mean,ratio_own_vs_other_std,vel_rel_err_mean_mean,vel_rel_err_mean_std,vel_rel_err_median_mean,vel_rel_err_median_std,vel_abs_err_mean_mean,vel_abs_err_mean_std,trace_post,iter,train_loss,elapsed_s,dist_to_nearest_train_mean,dist_to_nearest_train_std
train,20,1.090451680175334,0.05467905155122614,0.2104686519625672,0.03892850012928168,0.8429092733942637,0.5567547731335292,0.14694576372699436,0.06075902716708429,8.64674744294627,10.30498094248207,0.8224604070186615,0.1343952096513368,0.8066880255937576,0.12838012216501546,1.332394814491272,0.3672217126978763,1.0467556993875196,100,3.3421626030502183,35.29168891906738,,
heldout,8,1.1347705789050861,0.03972637005215297,0.19831472047660612,0.020230980699100072,,,,,,,,,,,,,1.0467556993875196,100,3.3421626030502183,35.29168891906738,0.11952635525985035,0.030984597762663744
train,20,1.2187409225439885,0.05785135767799431,0.21491987431504772,0.08607534231319472,0.8195530381624311,0.5487449426594434,0.14700834598711904,0.04870723186703968,6.296232975211519,4.663935586030811,0.7976912051439286,0.14075068017067377,0.7799664169549942,0.13409593698751507,1.2891823023557663,0.3482885207093458,1.0467556993875196,300,2.6000549328625073,75.69398260116577,,
heldout,8,1.2049528283428612,0.06190529865137456,0.18297004720600638,0.049699009781608794,,,,,,,,,,,,,1.0467556993875196,300,2.6000549328625073,75.69398260116577,0.09140627770926238,0.04750525374225637
train,20,0.9022516287081821,0.04343267039936778,0.21433330098305592,0.11529691197304753,0.8180601656346225,0.5671751732426658,0.11816265221872735,0.040798622358443164,8.921063859493763,8.593142759839692,0.774571593105793,0.17001567321762664,0.6662620320916176,0.16218470979403157,1.155676966905594,0.40299392100201487,1.0467556993875196,1000,2.0095589101505893,110.45475220680237,,
heldout,8,0.9337314762860462,0.043496721021131536,0.17967326355043878,0.08193481952742983,,,,,,,,,,,,,1.0467556993875196,1000,2.0095589101505893,110.45475220680237,0.11527509752247045,0.04773108021127644
train,20,1.1008331185261617,0.04182636110047574,0.16017712720639457,0.07832145170669769,0.8408022793679972,0.5826649122889938,0.1212788403966798,0.05222855783081017,8.388130485567414,6.389169373597133,0.8044820502400398,0.17581133866708717,0.67309879809618,0.16324951185137676,1.1617900431156158,0.35695443079014,1.0467556993875196,3000,1.9917935401952382,160.61301803588867,,
heldout,8,1.0959977797332083,0.03899206445254589,0.14703101837465457,0.03275761401891604,,,,,,,,,,,,,1.0467556993875196,3000,1.9917935401952382,160.61301803588867,0.12159396266310854,0.05899923115430212
train,20,1.001991567922094,0.1288366001578676,0.32916984415862294,0.12797997031024833,0.8157637416324703,0.6080814937979566,0.10023073506197067,0.039892660132994376,10.55440740259941,10.795558824219173,0.8299354210495948,0.28996235349523725,0.6392139434814453,0.17724487618842177,1.143185794353485,0.4066338545360274,1.0467556993875196,10000,1.9349625897554015,222.32672834396362,,
heldout,8,1.0472820947260564,0.2143353132967328,0.29877475751444915,0.10205262972556878,,,,,,,,,,,,,1.0467556993875196,10000,1.9349625897554015,222.32672834396362,0.09575824390297086,0.05337890136838605
train,20,1.0210001682456018,0.18177973355243682,0.15869598123799838,0.07300181858560774,0.8467284512981884,0.5917375618136903,0.11805816548767767,0.08300627124453737,19.903324760509058,44.56076398995204,0.7531160593032837,0.16829178318513713,0.6391451194882393,0.16926010499506242,1.1094512820243836,0.3457459094368997,1.0467556993875196,30000,1.8387026345142283,355.3690814971924,,
heldout,8,1.0187719317926112,0.18611760017691809,0.162206096309984,0.10472240629962402,,,,,,,,,,,,,1.0467556993875196,30000,1.8387026345142283,355.3690814971924,0.09598099431149401,0.033627549529483686
train,20,0.9316098303128972,0.13036505795156675,0.223718289912479,0.09994375868832392,0.8359004707176126,0.5788844337166978,0.10602242140208103,0.0499617318078083,11.332700908570548,12.655445718849892,0.7128530651330948,0.14632499398188867,0.5957466751337052,0.15103000829289143,1.0420372635126114,0.3320942066808222,1.0467556993875196,100000,1.731434370562766,748.7632253170013,,
heldout,8,0.9839309700500126,0.1732318795391412,0.1527119953673719,0.059278021007811155,,,,,,,,,,,,,1.0467556993875196,100000,1.731434370562766,748.7632253170013,0.1002766956199794,0.05148647452382587
train,20,0.9683038763346431,0.16210800914247417,0.26643243602502,0.10669395838016213,0.8282456091356429,0.5794218795507664,0.09369214620424898,0.048025132721103744,14.001084725824535,17.022845003398768,0.6965909108519555,0.15317748612921517,0.5847207799553871,0.15603116612520862,1.0250822633504868,0.3390411192037445,1.0467556993875196,200000,1.7077787294228781,1347.084757566452,,
heldout,8,1.0097650389352777,0.19967576628615155,0.20101459725339757,0.1038821068621825,,,,,,,,,,,,,1.0467556993875196,200000,1.7077787294228781,1347.084757566452,0.1010622816849271,0.044896033383296514
