group,n_eval,trace_cov_mean,trace_cov_std,mean_err_post_mean,mean_err_post_std,mean_err_train_point_mean,mean_err_train_point_std,dist_to_nearest_other_mean,dist_to_nearest_other_std,ratio_own_vs_other_mean,ratio_own_vs_other_std,vel_rel_err_mean_mean,vel_rel_err_mean_std,vel_rel_err_median_mean,vel_rel_err_median_std,vel_abs_err_mean_mean,vel_abs_err_mean_std,trace_cov_kernel_mean,trace_cov_kernel_std,n_eff_mean,n_eff_std,ratio_to_kernel_mean,ratio_to_kernel_std,mean_err_kernel_mean,mean_err_kernel_std,memorization_ratio_mean,memorization_ratio_std,trace_post,iter,train_loss,lr,elapsed_s,dist_to_nearest_train_mean,dist_to_nearest_train_std
train,20,1.091396250134674,0.046874636250702324,0.08811702036970798,0.04007782610104397,1.0301978401211669,0.8472275513154166,0.15222029171788393,0.10288253941542297,11.331631024544418,12.178924072852856,0.7810753345489502,0.08382319450045528,0.813980546593666,0.11300608221815364,1.4606054991483688,0.6209866977153033,1.1445310368419288,0.6783840583570526,15.438212813579824,7.579309186117575,1.1632492544104522,0.3900344837792529,0.3011990273634114,0.25405028520121625,0.10965000000000003,0.014196038179717608,1.0040473220529973,100,3.221322584745663,0.001,44.067176818847656,,
heldout,8,1.1071030936896322,0.047819255233679345,0.08454983225487295,0.059515209782950614,,,,,,,,,,,,,,,,,,,,,0.11125,0.021970150204311308,1.0040473220529973,100,3.221322584745663,0.001,44.067176818847656,0.1632916177099683,0.1706105412298747
train,20,2.070030471290834,0.17032961337374047,0.15959427012995123,0.05231862628787546,1.0332991662875632,0.8932754385412031,0.12740469360867207,0.09473952619707238,10.558381913170242,8.21155942381725,0.7122515797615051,0.10145543529204881,0.7064904898405076,0.11545245098956641,1.2833145588636399,0.46928428196858346,1.1445310368419288,0.6783840583570526,15.438212813579824,7.579309186117575,2.1705611285016113,0.69359031521527,0.35753309901208963,0.3016002781224989,0.10674999999999998,0.02975546168352963,1.0040473220529973,300,2.428359148282754,0.001,96.43032503128052,,
heldout,8,1.8639367051735363,0.13221605122477204,0.160475282920274,0.027851389798827682,,,,,,,,,,,,,,,,,,,,,0.102875,0.045065057139650894,1.0040473220529973,300,2.428359148282754,0.001,96.43032503128052,0.18870019356447765,0.23924475892823946
train,20,1.1991059489125162,0.1407369700607146,0.07900128598867244,0.04417990823966479,1.051686071307889,0.8247305219710989,0.1544392915012501,0.10047831845657393,14.008005735742714,19.66327225900577,0.726025041937828,0.14829482447358447,0.6272500857710839,0.12897003616913955,1.2053106904029847,0.4976777124977242,1.1445310368419288,0.6783840583570526,15.438212813579824,7.579309186117575,1.248957066527571,0.39765349236505665,0.2567987459085902,0.2662129385620844,0.11305000000000001,0.024536656251412905,1.0040473220529973,1000,1.8301947348514351,0.001,149.17253494262695,,
heldout,8,1.175927146150335,0.12286062039495987,0.06823891607465152,0.034435429721077895,,,,,,,,,,,,,,,,,,,,,0.1135,0.049489897959078474,1.0040473220529973,1000,1.8301947348514351,0.001,149.17253494262695,0.1504037932281867,0.23900321567328497
train,20,1.2323562367918877,0.35175179405993434,0.07050494648448981,0.021714287919609544,1.0201003991765845,0.8374154463399511,0.1604098223051028,0.10975894535511563,10.684164410749434,13.00200715131259,0.7193054184317589,0.15981470136335718,0.6163767620921135,0.13414523343273624,1.1865933239459991,0.4759802704912634,1.1445310368419288,0.6783840583570526,15.438212813579824,7.579309186117575,1.2476959217449082,0.5066479627592705,0.29409507391841766,0.2528072708890045,0.11365,0.023715553967807706,1.0040473220529973,3000,1.821529514561415,0.001,210.33735370635986,,
heldout,8,1.4228089789949796,0.4994820554750472,0.09011592746220534,0.021614856421244593,,,,,,,,,,,,,,,,,,,,,0.117875,0.02728295026202262,1.0040473220529973,3000,1.821529514561415,0.001,210.33735370635986,0.19349993515706151,0.21930545356203085
train,20,1.0771256411260575,0.3938049294857139,0.1880574755803543,0.2608251537023249,0.9716616907891404,0.7855329733510357,0.1286687591884822,0.09330397910846223,15.851240265227798,21.613780432000976,0.7152784019708633,0.16937387757472747,0.5932919457554817,0.1503887394129769,1.1428725928068162,0.42205835015651166,1.1445310368419288,0.6783840583570526,15.438212813579824,7.579309186117575,1.0540662887887016,0.3680891761298852,0.15364001690137102,0.15122748357494753,0.12544999999999998,0.025297183637709553,1.0040473220529973,10000,1.745115361307481,0.001,309.9942648410797,,
heldout,8,1.0194484894034723,0.172126111938815,0.08972796050776319,0.0975659935389579,,,,,,,,,,,,,,,,,,,,,0.11649999999999999,0.0416593326878864,1.0040473220529973,10000,1.745115361307481,0.001,309.9942648410797,0.16612138165315737,0.23255833732185122
train,20,1.1262121552622906,0.5159744852147631,0.2706615918382264,0.2715718979379386,0.9580066226639641,0.7580298815705186,0.1389138115313543,0.06798906148723345,10.573410223947677,12.576284280578006,0.6619369104504585,0.17488733857758615,0.5424940153956413,0.16865646747863186,1.045535045862198,0.35907518121042625,1.1445310368419288,0.6783840583570526,15.438212813579824,7.579309186117575,1.031034471644466,0.13174462988252597,0.10488009343910584,0.08787265334312207,0.17045000000000002,0.07465217679344656,1.0040473220529973,30000,1.6118285654713795,0.001,480.51602697372437,,
heldout,8,0.9388905412294641,0.23180626253266415,0.28989688223717,0.3843863546712948,,,,,,,,,,,,,,,,,,,,,0.23375,0.07657145355809827,1.0040473220529973,30000,1.6118285654713795,0.001,480.51602697372437,0.132571891433994,0.10514499375576349
train,20,1.1376376080474377,0.6374331118970641,0.2990456250172195,0.2536873672209014,0.9248000880439028,0.7021387965323224,0.152415368410368,0.06577093409200223,10.329155503090652,16.2994827829066,0.6143325202167034,0.1992622798695956,0.4997908487915993,0.17528223889903916,0.9651583790779114,0.3172846828033747,1.1445310368419288,0.6783840583570526,15.438212813579824,7.579309186117575,0.9996245942988452,0.07484318478176752,0.06014819725788924,0.022497341460899507,0.32100000000000006,0.1545865453394958,1.0040473220529973,100000,1.5000722998275604,0.001,946.0998454093933,,
heldout,8,0.8616372707448039,0.347298040050034,0.3761999149955867,0.424892564113329,,,,,,,,,,,,,,,,,,,,,0.417375,0.2036743341096271,1.0040473220529973,100000,1.5000722998275604,0.001,946.0998454093933,0.13522245620159884,0.08387135062521717
train,20,1.2252853667850647,0.7881597979138307,0.29402695447118793,0.25374538863902596,0.9204149627654841,0.7329485465773933,0.12250623751860765,0.06754627006357579,9.778390075389908,8.06112341770811,0.6081547297537326,0.18431007553843368,0.4989005126059055,0.17409698955131198,0.9592540487647057,0.31189162418367844,1.1445310368419288,0.6783840583570526,15.438212813579824,7.579309186117575,1.0634310491220031,0.08443385965618,0.053892288430584155,0.07905416446843712,0.45565,0.2015820614538903,1.0040473220529973,200000,1.4727024625039815,0.001,1536.0403780937195,,
heldout,8,0.8096585454409614,0.36007578375845,0.3491626647376105,0.4042206845929366,,,,,,,,,,,,,,,,,,,,,0.49887499999999996,0.13900219197911953,1.0040473220529973,200000,1.4727024625039815,0.001,1536.0403780937195,0.06680489823070154,0.0418335997624169
