group,n_eval,trace_cov_mean,trace_cov_std,mean_err_post_mean,mean_err_post_std,mean_err_train_point_mean,mean_err_train_point_std,dist_to_nearest_other_mean,dist_to_nearest_other_std,ratio_own_vs_other_mean,ratio_own_vs_other_std,vel_rel_err_mean_mean,vel_rel_err_mean_std,vel_rel_err_median_mean,vel_rel_err_median_std,vel_abs_err_mean_mean,vel_abs_err_mean_std,trace_cov_kernel_mean,trace_cov_kernel_std,n_eff_mean,n_eff_std,ratio_to_kernel_mean,ratio_to_kernel_std,mean_err_kernel_mean,mean_err_kernel_std,memorization_ratio_mean,memorization_ratio_std,trace_post,iter,train_loss,lr,elapsed_s,dist_to_nearest_train_mean,dist_to_nearest_train_std
train,20,1.0949180685710314,0.042723402282275634,0.12308912470257174,0.060229647734057604,1.1005252061616055,0.5967836170259092,0.1548893904756054,0.08818245503515894,9.652482433127545,6.451397338974086,0.8400150209665298,0.13347429686423082,0.8355956524610519,0.16665909355696956,1.4763568878173827,0.3578744418324472,0.0,0.0,1.0,0.0,,,1.1005252061616055,0.5967836170259092,0.11815,0.01496754822941954,1.014581102997699,100,3.0599543163255083,0.001,47.5550000667572,,
heldout,8,1.106584304300342,0.02617707059264844,0.11727918898094594,0.0625495706754695,,,,,,,,,,,,,,,,,,,,,0.113125,0.01672152430252697,1.014581102997699,100,3.0599543163255083,0.001,47.555004835128784,0.12007192582185591,0.07261375851137912
train,20,1.7281129357064295,0.09591621731089811,0.13222185087574617,0.07232055686868624,1.0923039727282196,0.6009720877713068,0.11549873852977363,0.07809720879969434,14.284864686353396,11.870416337803993,0.7640659555792808,0.16802000232670697,0.7494352787733078,0.16958283600880814,1.3533448547124862,0.29906307320550707,0.0,0.0,1.0,0.0,,,1.0923039727282196,0.6009720877713068,0.1202,0.016427416108445052,1.014581102997699,300,2.441167486590205,0.001,98.65760469436646,,
heldout,8,1.6204383712336465,0.09153971175362761,0.16577501073444484,0.0627611461346678,,,,,,,,,,,,,,,,,,,,,0.117375,0.021845694655927058,1.014581102997699,300,2.441167486590205,0.001,98.65760827064514,0.13272248356977254,0.03171228863466705
train,20,1.0113557555787402,0.14092394289438595,0.073376052073714,0.04348643252239048,1.076390606633223,0.6137836413832225,0.14095718930962717,0.1067707533149188,11.223166110960847,8.216013806710183,0.8208241730928421,0.22138472826314715,0.6840997047722339,0.19548588758285723,1.277776974439621,0.390653904897386,0.0,0.0,1.0,0.0,,,1.076390606633223,0.6137836413832225,0.11979999999999999,0.021901141522760865,1.014581102997699,1000,1.8511351734551489,0.001,153.97720170021057,,
heldout,8,0.9038508355350554,0.15523154407563688,0.08906756859031789,0.03066157534665416,,,,,,,,,,,,,,,,,,,,,0.124625,0.025396542579650485,1.014581102997699,1000,1.8511351734551489,0.001,153.97720456123352,0.13838636333850812,0.1095775162203246
train,20,1.0847566726707705,0.24033595966029214,0.10630530836433974,0.05539647520470802,1.0799585500825235,0.6135708432957583,0.1557668068697518,0.12596400879866443,15.993849584304428,28.36968340635543,0.8055568784475327,0.22260546327319833,0.672876637428999,0.19895815058443936,1.2445137470960617,0.37059200076842463,0.0,0.0,1.0,0.0,,,1.0799585500825235,0.6135708432957583,0.13240000000000002,0.03154900949316793,1.014581102997699,3000,1.8396164679520481,0.001,219.2316541671753,,
heldout,8,0.9037459257836773,0.2526304658292045,0.10833311098925003,0.030092160249191657,,,,,,,,,,,,,,,,,,,,,0.12375,0.029260681810238123,1.014581102997699,3000,1.8396164679520481,0.001,219.2316586971283,0.11522258008875569,0.09768617183303242
train,20,1.1611461574946735,0.2946928785167674,0.12414783606075878,0.07148388417030224,1.1062159349067113,0.6066892934007087,0.14917947866823555,0.12148833538326292,11.999100435468794,8.870668284461633,0.8151620045304299,0.23503069398636425,0.6768713176250458,0.20211418634903638,1.2583568066358566,0.3847442203383899,0.0,0.0,1.0,0.0,,,1.1062159349067113,0.6066892934007087,0.11580000000000001,0.02701036837956861,1.014581102997699,10000,1.780846187754215,0.001,329.65762853622437,,
heldout,8,1.0742616472420208,0.31752875157151883,0.08143900066149298,0.06213964537652788,,,,,,,,,,,,,,,,,,,,,0.1225,0.027499999999999997,1.014581102997699,10000,1.780846187754215,0.001,329.65763115882874,0.13503295128457024,0.1059791705618264
train,20,1.1123417976573735,0.49680925403283666,0.3712373856469949,0.2839898931896155,0.9489177103293539,0.6751955385664332,0.16418649763821308,0.18951415797816198,12.738382635069465,10.701149727647843,0.7093153819441795,0.2771516127384231,0.5826447427272796,0.24492100890200427,1.0460549995303154,0.4210738713667029,0.0,0.0,1.0,0.0,,,0.9489177103293539,0.6751955385664332,0.2779,0.2258829121469794,1.014581102997699,30000,1.4605497978968378,0.001,530.5328733921051,,
heldout,8,0.7588993914026421,0.4283435070822511,0.3619322974340339,0.2742143275510694,,,,,,,,,,,,,,,,,,,,,0.261375,0.16588319497465678,1.014581102997699,30000,1.4605497978968378,0.001,530.5328779220581,0.16437054141862822,0.09368136206058074
train,20,0.770724501169213,0.7398729645784323,0.5142964600450045,0.4230951349859657,0.7633063594704355,0.6925209023775328,0.1744677459885659,0.19549403470757004,8.574570089835742,8.289330259263194,0.5814500987529755,0.29115373702435543,0.47199785225093366,0.25862379152698245,0.8495374388992787,0.44965273094677577,0.0,0.0,1.0,0.0,,,0.7633063594704355,0.6925209023775328,0.50935,0.21015429450763076,1.014581102997699,100000,1.0242395959226438,0.001,985.5774636268616,,
heldout,8,0.6575142214699062,0.7065307495229679,0.3838793068117333,0.26891512816058954,,,,,,,,,,,,,,,,,,,,,0.4325,0.20354053650317425,1.014581102997699,100000,1.0242395959226438,0.001,985.5774655342102,0.13877429097602761,0.11251366925800016
train,20,0.5313704048314024,0.7719673707266216,0.7550850889855292,0.5281475573872249,0.44945495837263405,0.5331974776765634,0.19553363353354256,0.18392683538001744,4.990002347122184,6.088079161985164,0.37157819159328936,0.2267905856444397,0.27813654355704787,0.17782500474904678,0.5507334500551224,0.3114384784074481,0.0,0.0,1.0,0.0,,,0.44945495837263405,0.5331974776765634,0.6629,0.2272883411000221,1.014581102997699,200000,0.642610124416529,0.001,1690.4424846172333,,
heldout,8,0.3108137739447363,0.27189011965199517,0.3637499540434299,0.3071888840300989,,,,,,,,,,,,,,,,,,,,,0.517125,0.24180179770837104,1.014581102997699,200000,0.642610124416529,0.001,1690.442487001419,0.10543699296727606,0.08382818841985733
